alphanumeric,name,normaldist,currency,guid,name2,name1,numberrange
X3O5D9,14,79037,3422.49,3EA0D9CA-5E4E-C5C3-D464-4F1992E44E91,Tarik,Hahn,11
O5R4W2,11,50465,3007.27,390911A6-3323-7457-01EA-2553D12C6725,Zane,Glenn,24
N8W6A1,15,54236,3024.56,E264BA72-34DB-E111-81FE-DDD0C66011CA,Kasimir,Osborn,16
V8E1L2,4,79759,2409.10,8BA71FCE-BD26-D8E9-F341-B7F2A7A55781,Lyle,Bernard,15
C7P2G3,13,56227,2600.60,7FE53DB6-4D71-411A-7C46-CF9EBBAF81A1,Cedric,Dickerson,28
D6X1E2,9,50051,3228.51,CB2EEB9B-4913-0336-B371-AF34BAFE42AD,Wing,Foreman,27
C5R4N6,13,66713,2686.77,D57D9935-0EEF-AEEC-A904-52458498F289,Tyler,Mccormick,30
O2X3R7,13,84159,3082.51,95A328EB-0DE6-6E24-21A5-76494B4CFFED,Oren,Jimenez,19
W4M8S8,1,52204,4058.03,09BD56CE-9BFD-36C8-A248-B1449E7D7CC9,Linus,Blankenship,13
F2W6D7,7,89896,3217.52,EC54F63C-90C8-CDA4-77D2-B7593254C25B,Stone,Wooten,17
D6A4R8,15,82033,4883.53,471E9DC9-3AA8-4C47-E346-27975362B26D,Holmes,Wiley,12
Z4K8D6,3,85823,1865.46,D8432E9D-9ED3-547C-025B-AC709C31A9C3,Hedley,Kane,11
E3N1C8,18,67388,3056.31,F62EA695-B43F-8B4B-3731-268E4DA146AF,Branden,Wilson,29
U2O1P4,13,87625,1761.95,1005D383-D447-2687-998E-713875A1A3C1,Philip,Welch,19
L2B9B2,2,61324,4076.19,92CE916A-67B8-29D3-BA28-E9AABA042688,Jelani,Witt,18
J7O3G1,12,50071,4663.43,566C1AD9-04DF-C44A-F54A-952BA1BC922D,Gary,Silva,24
P4T4X8,4,69632,4925.00,3835850B-A855-C578-DA58-86A25F3FBCB9,Dominic,Rosales,27
W5I4O9,19,67675,3672.83,CE4516AE-F420-725C-35D9-2C69229984F1,Graiden,Alexander,30
E1Y3K4,7,54631,3726.10,75C9E1D7-6611-82CE-F454-D33E3897E3CA,Donovan,Patterson,24
O8A6I1,7,66821,4535.94,4B7A61D7-6AB1-9F2E-E1FB-5C8B99E643C8,Brett,Wilder,13
J6N3A3,10,79349,4252.72,1A7519AC-05F6-FE9E-A58A-736EDA27A4DE,Basil,Humphrey,29
D1N8T5,17,64207,1938.23,D4A134D0-C786-92C3-19ED-E7E83D7A62AE,Fitzgerald,Tanner,18
O9U6Q8,2,89073,4795.31,1092BEAA-71A1-3CF9-87B0-27EBEDD292E8,Drew,Kennedy,10
D5T6M5,19,54311,3326.99,1CB36C68-8EFB-33E5-515B-8B49D33F0E3C,Uriah,Lee,25
O3W6G3,10,61895,4497.36,6DDB9D1A-4806-0044-15DD-C805CBB99BDA,Knox,Drake,8
R1D9S6,18,72026,4504.58,C267B8F6-7DD4-BAEE-8878-B4D51313AA9A,Clarke,Sellers,27
M9J3G5,6,51925,2730.62,B9249C79-16FE-E8CC-5CB4-937E0E6A2773,Owen,Mathews,13
E2Q1E3,7,69926,2324.13,45175AE4-76AE-082E-C964-72FEA9FD6358,Cody,Mcfarland,9
B9C7A2,6,69390,3743.71,F246819F-D774-E315-87AE-F687D1CA6FAB,Holmes,Huff,23
H0B6B3,12,76604,4410.16,A128AB9B-86C6-AC7D-D78E-88A1518636AC,Hedley,Dixon,17
L3G5A7,6,67856,3065.58,B48D1EE9-5EEB-B2DD-9137-32B9412B613B,Calvin,Horn,27
Q3W3P5,20,83316,4080.96,796436ED-24C7-BA6F-9699-5C299D81B156,Warren,Vance,8
E5B6B7,9,54792,1790.98,BE8D47D5-05A9-4766-3653-115C227709B8,Arsenio,Walton,26
J8Q1L1,11,67972,2399.95,B683ADF7-2937-B101-38D6-1772138E1181,Thaddeus,James,8
O8L9A8,4,51824,2211.14,4B218BB7-E32C-C2EF-7D6D-E3E118816D33,Lee,Michael,11
A8X8P6,15,74757,1658.79,17806176-4D91-0EC6-7BCD-129D8933DB82,Hakeem,Valencia,25
G4U5O7,13,69646,3916.14,E61C42D3-29D8-BA42-12DC-8B6E92B9EAE8,Rahim,Randolph,22
R7Q2I4,15,70268,3397.77,67D11CF4-F508-C847-89BB-32AA2D7E9905,Rafael,Meyers,8
K7O4B5,10,58696,4987.98,7941B767-B1CC-8D37-03A1-497D5D4735DE,Ezekiel,Hancock,9
C3M7T7,6,87224,1949.34,30BAE41E-47CD-48E9-A764-83215EB839DA,Ciaran,Townsend,12
T2G1P4,12,77418,3336.55,60EE7496-2D7A-E411-3CAE-6DDBDC5D2524,Sylvester,Robertson,17
N5C0W3,17,55096,4144.30,DE3CEB2A-18B2-CE12-4C98-079C627944E7,Cairo,Rose,22
V3J4T4,2,66757,3861.69,A5ABF461-1166-826E-1D4D-8C89D289DC32,Philip,Koch,17
V4E7R3,12,67525,2650.41,8B3FBC9B-99E4-6D2A-6A4B-5D6426869E27,Xavier,Harrington,26
C5O0G4,16,75654,3600.83,E341D754-9E9B-1AF2-7B61-64EA8C93F413,Ahmed,Morin,22
U3V0B6,18,56578,3761.46,D918B931-3FEA-64AE-72E1-18E208366096,Ezekiel,Sweet,21
R2B4B7,2,60859,1969.40,9D610473-536A-9971-5BC8-95335C67A2B5,Samuel,Barlow,11
H4B8Q6,12,83328,3598.94,A36BEB63-58E4-4A7E-2627-FE567AC4F0EC,Nathan,Holden,21
Q8K3L5,3,76979,3285.17,E5C20C25-28B8-A9AA-7DCD-0C0C08FAC4E2,Ishmael,Stevenson,16
M3T3I4,18,79985,4636.20,DB65EE76-E449-E1A5-7EF9-9BC6D5B4DB03,Stephen,Dudley,7
D9O3Q2,3,65439,3026.55,E6745A3B-F928-3944-6365-C54363623731,Gannon,Mendoza,6
D2H2Z8,13,50468,3948.95,D654C984-E9D8-1837-C04B-2E7B9C7CAA31,Preston,Copeland,12
Y5U4K6,4,66298,1633.97,A6AAACFF-A7B6-B5BA-E6E1-C11B95BCA403,Hector,Prince,27
D1W1F4,3,67102,1579.24,7A99BCBB-81F2-97A1-6158-8924D5D3ADE2,Gannon,Gentry,8
K2E4I5,9,83916,2989.57,74649696-B646-8F21-4F7D-D62864E51898,Bevis,Sutton,18
B2I7T7,8,59607,2100.74,53835814-310E-D0B4-1802-515D7E85A584,Mason,Greer,20
G4W2J2,9,57221,2330.35,A49A900B-5938-8655-18A1-5FF48B3B3B13,Martin,Webb,22
P3D1W1,7,62906,4648.14,19C23CA8-EB73-C559-D40C-9335D7B039F0,Chancellor,O'donnell,7
G8R7Q3,13,80410,4736.32,43AF12BC-D814-26D4-519E-A95DA1FCC1BC,Mufutau,Patterson,28
S7Q2N9,9,81762,3811.04,DB09A2E8-70FE-77B1-488E-1E6E2919BEAD,Tobias,Cummings,12
X1P6D6,7,56351,3179.43,4EA51939-F1E9-2937-F6D3-E6CD8B22B22D,Adam,Maddox,8
M2E8C3,16,59118,4734.20,9838E7DA-4F57-DE7C-EAB3-BE63A8C4A5A0,Cain,Booker,21
W3O2U2,12,62477,4031.66,70C4D86C-E675-B692-9875-3058289C4782,Malcolm,Guerra,29
O8U3Z4,6,60232,4696.38,DE843E50-D864-548C-E46B-14B2D670C902,Dennis,Boone,19
X4O7U8,13,69904,1562.44,44C4CD5E-16CA-612A-53B0-0178A694367B,Matthew,Wilcox,26
A3N3F6,3,69500,4354.03,DB8CE6F8-98CB-A718-281D-A2B58432899D,Kieran,Doyle,20
P8Q6F2,16,85950,1854.14,3D8A5A90-ED28-6E85-E472-8D6B755AAA93,Fuller,Hess,13
P9P4K2,20,65313,3576.55,7987A93C-3A72-9C8F-7DC8-A88CCE757E24,Isaiah,Nash,11
C5I5P2,6,53299,4492.79,860C4368-34B5-B5BA-DEF8-7690385D2415,August,Becker,9
Y2D2P2,13,71459,3469.59,9CCDA7CB-AD59-EBEC-CB50-79CBB818C95E,Kenneth,Pena,19
V0E9M2,19,53601,3344.66,464C46DD-74F5-91BD-CC6A-657FBA752530,Dillon,Tanner,29
Q8X3D9,15,74251,4984.40,AB327A80-7968-7C3F-9D2C-841B572182AD,Tyler,Fields,8
G4H6X4,13,50061,3898.04,DC390444-27DD-7DE5-DE95-A672531BDCE7,Joel,Atkinson,21
D2P2W7,13,67787,3750.63,2B7CEA1D-AC0C-0EC9-3C95-8880160E42F1,Brock,Duffy,27
D2N1V5,2,71457,3053.68,50F2E829-8523-6A84-00BE-ADC56C7A3EAF,Gareth,Bright,17
Y2U7H6,19,76370,2254.52,88D898CC-11DA-A485-5C12-63AEAF94372B,Bert,Mason,11
Z1D6P6,10,50302,2175.69,D76A76C4-BE92-4EBE-16A1-4DA53C6DC687,Myles,Patrick,11
Q1I2F4,14,63809,4186.47,770405E1-A647-92E2-D5CB-FC8C3BD53986,Brody,Oliver,8
S8T2X8,19,89061,4623.18,349D6215-6AC9-707E-CC89-7C6265B85786,Neville,Stone,26
R1P8R2,15,84174,2969.21,594B96CB-BEB0-8E8C-BB32-23FDC69BD17D,Oliver,Grimes,25
T8M8I5,4,61492,2714.55,A3F68926-31C6-94D7-A2A5-B15A56849B8E,Damon,Charles,26
V2H5E4,6,70208,2916.80,0DEA254B-1C0E-7AF4-FE2C-995C82A7E151,Valentine,Bell,17
I5H5C9,15,88924,4841.83,A28639F3-C615-AC32-2399-B6A9A4D41769,Dean,Richardson,10
Z7J1F7,7,81255,1962.90,BC813834-C972-065D-2D78-EC65E06A1B29,Odysseus,Wagner,13
O8L5K6,9,62406,3196.69,33569806-D8F5-B7E8-9DA3-135C2730C6C5,Kadeem,Becker,23
X6E9I3,11,83429,4926.46,31619CC6-015E-92BF-A194-D2F22801AA3E,Branden,Buchanan,30
N8V9L8,16,56433,2380.19,20CB118E-C151-6972-45AA-88767477F2F2,Kareem,Stanton,6
O7D2S8,18,72451,2211.93,88A119A0-C555-69D9-7AB9-1910F5B6D9E9,Curran,Moody,9
L7B1U4,2,75123,3282.97,808D3FCD-7878-DDDA-438F-A835438603CD,Colt,Boyer,15
F7X1A5,19,81008,1787.56,6A7AEBB3-8716-4AA1-1210-A06E272BF364,Herman,Morgan,10
X8Y9S2,16,68580,4928.02,EED265F5-B8DC-048E-2935-8822C6CCE933,Kirk,Lucas,29
E4W8H9,15,81644,3051.06,E3857011-858F-A177-BCBD-75B8CD631427,Paki,Morris,15
H1M2Y4,9,81911,3537.90,A278C4F2-A0B4-CDFB-76B4-DC2634B73409,Clarke,Pope,25
L5G7F4,19,75868,3555.22,22C2BA86-6EE6-BF02-771C-3A63441711AF,Burton,Solis,14
G2G5G1,4,60686,4101.76,D7788ACB-0B51-1764-739B-5880F9D2D5D8,Griffith,Potter,13
H3Z8Y3,11,76144,3838.74,C25509AA-3CBC-B158-9E2A-6DD4CA912063,Erich,Mendoza,18
Z8M7C5,9,89347,4523.27,A3420AD6-873B-1C6D-5843-B748904C6AB0,Cameron,Rush,29
B7B3K4,3,55639,2449.27,3737E23C-811C-63EE-5F3E-586207B21951,Wylie,Marshall,28
L7O5R8,11,82967,4108.29,33D9A687-EF4D-16B5-DA5C-559D661CC59C,Dalton,Gregory,18
S7E2G9,20,85302,2836.56,38877FBE-0A69-18DA-C1DB-0ACA6BF4538A,Dillon,Griffin,10
V7F6E7,2,67109,2408.23,A93777BD-CDDD-D966-EE15-4AAB7A3EE5A5,Solomon,Holman,26
B4H9M2,7,73172,3537.81,2DCF5525-8CCB-7C31-A9AB-7BD5A676F7BE,Quamar,Johnston,25
N2O0U1,14,85986,4421.48,D187A84D-13D6-8DFC-E541-5894D484B1DD,Ezra,French,20
G3A2X1,7,60313,2464.47,9EAE9827-0BAE-BD5D-9CC3-721EDC1895E9,Raja,Branch,21
M7O2E6,17,72143,2370.94,7CC016F5-5061-62CC-8786-0AF081B2E3C8,Wing,Moreno,28
Y7V9V5,15,85033,3201.96,D681B961-1994-3182-D1FB-3477E39C726D,Addison,Norman,27
S7A7V4,3,71732,1791.67,AF274EDF-01BC-9242-E808-3EC794F240C4,Salvador,West,28
J6Z0A1,13,65286,2199.03,553300A2-179C-D281-977E-C7BC33C5D1D6,Fletcher,Brown,12
C4P4I7,5,63745,1515.71,83353811-E68C-7D97-3543-16F7B197ED5A,Jermaine,Osborn,25
L2U4V9,17,51823,2221.38,4B9D9733-8C82-395A-7903-F3ED356EA8D6,Alvin,Pickett,19
E4Z8S7,5,70275,2282.53,3061E46D-7DC8-2839-21C4-3206724F4065,Oscar,Hutchinson,23
P1S3I1,7,85400,4695.38,867D50B9-B347-5BE3-CCA1-2229A2883F73,Gavin,Ellison,26
G6E4D1,5,82302,4036.97,C1A7CBEA-1B08-A93B-DE65-13EE2D0D008D,Porter,Carey,28
E3C3O3,18,89690,2914.29,636D3BE7-B926-DCB2-6018-6E588856013B,Merrill,Tyler,22
V3E1G3,6,76147,1983.94,99CC2B83-779A-8F29-9285-1346204E6FB8,Ferdinand,Dudley,26
I4B6I7,8,77073,2508.76,E7BEFD6C-E444-631D-A617-6B48A4276697,Ferdinand,Moses,20
C1U9L0,5,66355,2850.01,A0EC9D55-ED41-5ADD-892B-8505EDB8CAE5,Amal,Trevino,29
L6W2E8,12,61959,3831.09,555E1DD9-52A3-61F6-D2D7-D706B4DA81CC,Arthur,Kent,15
K1G2I4,12,89629,3321.53,9B6D9C59-A4C6-E4B3-CACE-2BA38E68E533,August,Austin,21
Y0H1Y1,2,65429,2158.45,AEE630F6-4388-3AC4-D9E7-A9D7757124D3,Cole,Hooper,11
K0L8W3,5,86705,2702.81,A9F21664-7E34-5BD0-E751-D17A40E7815A,Joel,Martinez,17
D2C3F5,17,57641,2156.88,19C84E5C-B290-3F46-C921-28C58B9BC684,Marvin,Grimes,14
Y3Y5W5,13,59983,3494.64,0AAEE377-C8CB-CC59-12F1-DC2798627632,Lars,Hobbs,26
Y3L7G4,9,59567,3067.84,BB8E5380-D73B-5C7A-BA2E-7B62E407CEBD,Theodore,Vazquez,25
D1D7S9,2,81255,2361.29,5985C6F7-C627-434D-4E2F-246663D65BD1,Joseph,Spears,14
T1E3V8,5,78247,3249.74,FE9896E7-A396-FAA0-17E9-34EB1C86C528,Kasper,Lopez,28
K7Y4U5,4,65520,2223.09,CFB7AFDD-E1D4-C620-9225-A7C693791D4C,Lamar,Keller,11
O7F3P3,14,59189,2917.95,2B01B3C8-2DAC-E826-CA13-9984489CDC92,Sylvester,Gilliam,20
U2E7Q2,17,59608,3547.90,1CE6DDA9-FBCD-AE5C-FEC1-C2696FA1128E,Jesse,Blanchard,19
D6O3S7,3,55588,4316.07,F526697F-2B47-97E9-5BAB-3E4A9075E959,Knox,Wilder,22
E4A3V1,10,63223,1878.74,34499C97-2744-A85C-E7EB-5ED16E9552FE,Jamal,O'brien,23
K3L7K1,11,86954,2285.90,779AF26B-7AA8-E97E-9E9B-ACE7E74CE467,Joshua,Kinney,14
K5Y3V3,15,72455,3876.21,263BF2B4-26AB-D555-9CE8-F68A1A4EDF46,Kadeem,Jones,22
O2L5I6,8,71380,2560.82,E1231848-7C12-387B-93BD-0D43B5684B3A,Adam,Gordon,24
P2T0D1,4,64447,4266.04,905C3E59-7B17-39C9-48E6-13D66F30B267,Octavius,Knapp,17
K2S1D7,6,57068,2805.77,7C54FC5B-5658-F0E9-5A63-1F68803AC5D8,Rudyard,Morrison,20
J5Q2I3,13,79650,2883.32,32D25618-6C1E-EA57-C72C-B8FD83CB2870,Channing,Dotson,24
Y4O7U3,9,71939,4805.99,DD594E1D-59DC-DEBE-9245-774DADC2E5F9,Derek,Clark,21
R5H5U4,6,72292,1749.33,1F3D3BEC-6B92-AC73-1347-CA8AED179999,Paki,Walter,12
O8H2Y7,12,85455,1718.16,5B4BADD5-0C30-D5B6-6E66-84DA2587555F,Devin,Decker,8
O7Y5O9,15,79255,3680.14,1DBBBCC8-41C7-B4A3-2308-1FED759C9537,Clarke,Bradshaw,16
F6V4A6,3,51313,3715.07,A46343B0-B7E4-882D-259F-F537D26A3CB5,Lee,Wright,16
I1F5Q3,18,87232,1840.45,AFA9D168-6405-4E89-912E-7F21B0174A07,Isaac,Whitney,5
T3L2V7,5,65209,3586.66,BA8E3E3B-8817-B60F-536F-42CA72E73580,Cullen,Henry,15
P8H0E5,19,52343,4838.33,C24D1394-BAE0-5F4A-F188-85B4A4317F55,Amery,Melton,17
Y4D9L2,14,72651,2066.51,ED721B68-DC81-1660-7E99-12F9E7A9C5D9,Logan,Lawson,18
Q6W2I3,4,59418,3089.88,84F62802-CF37-F121-554B-5CB75D2A5171,Denton,Estes,6
I1I7H0,16,86111,2800.07,3BD36555-9AB5-E655-1480-10E817BFC8D6,Vincent,Becker,9
R1N8G3,5,73766,1945.38,EC24FE11-AC2D-EFBA-D2AF-C7164393AA18,Hyatt,Maxwell,12
D6R6H7,9,68080,3525.53,52B56709-324B-4199-5C32-8DC903723715,Cairo,Foley,26
U7F4G4,17,80248,3583.64,9518EC39-4481-C11D-9C6A-D5EEB1246311,Thane,Bass,9
V3C6C1,13,75902,4221.68,E74D643B-77CD-9FB9-754E-445C208667E5,Kenneth,Barnett,6
T9F7W5,1,65913,4373.97,31EA4F47-268C-0A7D-3DAA-1D98DE59B2BE,Kennedy,Nash,19
W5H1B1,8,63863,3610.21,9869F43B-D1F9-D55E-92D5-8161B8C41E13,Seth,Hodges,22
X7F9M2,3,84140,2931.29,7CD726AE-14A9-69E6-1AEC-BEF1DFED102A,Reuben,Walters,11
L3X1R5,6,73058,1872.21,4E43AD30-5E35-5C7B-A501-5AEAA1A710AB,Solomon,Hoover,8
R1I8U4,20,53288,1742.07,72340A69-06CD-1294-D900-E459C4417C21,Zachery,Albert,28
M3J6T5,8,63505,4516.51,DC7613C3-2076-3E0E-28B1-A3306C70EDD3,Hayes,Cruz,13
R8J7L4,2,87046,2935.83,0133588B-959C-71E7-C6E6-396E4EF86348,David,Grant,28
P8F9L6,17,86869,1855.73,43252D5B-331C-9940-E424-5421ECC99C48,Amos,Bean,16
L8V8Q2,13,54281,4461.60,9FC34C55-4D2C-A569-3499-6D450738D366,Paul,Mccoy,12
F2L2H1,18,72717,2370.57,6487DDC1-B810-80EE-1069-2211F41436D3,Christian,Hogan,7
T4Q8C4,13,60750,3117.91,67790112-9CFB-85CE-C617-19E3A06E124D,Hop,Fields,10
Y0F3C3,14,59447,4770.17,D3373472-34BE-43A1-4DD8-894DC753E3D9,Jack,Morales,26
G9D6X9,17,57773,4085.96,75CE5659-7955-C1F4-C2C8-B84AC6184EAB,Kyle,Bates,15
B1J7M7,9,52046,3323.89,A15041EC-36D6-26DE-E34E-4B218173DE3D,Sean,Leon,8
F5W1J2,3,73134,3940.50,9EA978AB-0C7B-CA19-5299-A8686C71C29E,Thor,Mays,25
H5V2V3,9,52672,2296.76,7B1F1315-2297-CAE9-E39A-C9EE795231EE,Conan,Simmons,22
V4V5C3,7,71142,3859.67,A87593DB-0B95-43C3-D25B-7AA1FE924ADA,Christian,Dean,29
I5I5A0,3,57376,4560.76,85B182D9-0D8C-66C6-E64A-33147929FADE,Galvin,Collins,26
G2O2E3,12,67752,2099.63,E4C97354-8572-1295-3B9A-A6B127D0534C,Gavin,Roberts,27
W3D8W2,17,60166,2888.30,819ABC71-3B91-B8C1-5A37-2C17DCACD249,Baker,Mercer,8
R3G0N1,18,76704,4843.30,2CE45807-1722-40B9-C909-07A227D9E663,Dylan,Barker,12
J4Y3X5,16,65915,2473.34,993262E8-A8F3-D110-769D-C4EA4882D418,Cain,Mcfarland,17
Q4X5H4,14,61960,4198.45,497BB788-E629-4D9A-F471-0936AACD53E6,Jackson,Park,16
E5R5F4,4,80569,4314.67,5C1B4155-38C2-BC2C-9869-1DE6D71ECCEA,George,Abbott,27
D9X0B7,10,74843,1518.97,ADEEB7AB-A9CC-9947-9513-ADB332C02F7F,Dante,Bradford,23
L2F5R1,7,65267,1779.43,40CE36A4-16D2-9EB4-E2A1-B027CE0D885A,Barclay,Vinson,13
H1P4H5,15,73205,3684.41,571C3372-534B-5611-9C71-E61E734DA257,Alec,Woodward,16
T8H3X2,10,74090,3769.48,656CBE63-96F8-3409-C894-469B574285BB,Wylie,Garcia,20
H7Y4T1,1,68820,1596.97,AA5FD845-C598-52C7-2F7B-044C7FE5BDA0,Cruz,Waters,11
F3C7K4,15,55938,3736.31,8AC4A358-A76E-5BBE-DB09-CC82DA1E63BA,Holmes,Marquez,25
N7L7R2,14,65528,3855.33,F14187EC-F350-C665-0A15-E9C75A252DD1,Thomas,Burt,8
V4P0I1,8,83895,2690.30,E30FF816-623F-E570-D936-E65238BA517B,Reuben,Henderson,30
H2S6C6,9,71335,2042.93,AE169C19-1D38-A7D5-4E7D-33DC5EAE6E5A,Wyatt,Davenport,16
S8P1E8,6,73108,3849.14,04C3C95E-3EBD-9C19-7B1F-7CECE0F7156E,Holmes,Cote,30
U4G9I3,15,51708,2520.20,72176CE7-A38E-AC10-0047-DA6E0D7983BE,Harlan,Sosa,11
F0R6V5,7,76471,3475.53,985E23A7-496A-B333-6A12-3E950899A13C,Felix,Maynard,15
V4I8G6,17,81670,1961.97,81402EFD-0775-EDE8-5A8B-E132E39731BD,Noah,Green,12
Y3G8M2,17,56560,4107.48,4D284A59-7E7E-9A2C-F76D-51151B365EE8,Silas,Mooney,16
B9D1C2,18,67810,3414.42,1B4771AB-25BB-ECC9-D543-55D4DDB637A7,Benedict,Moody,12
T2G4U3,6,58164,2267.73,8741BA2E-8411-9D63-7F3C-4F838DA28057,Perry,Peck,11
P1O6P2,4,74379,2896.13,A22D7C1E-5E46-94E0-6518-214A7B6EB817,Hamilton,Solis,30
U6U6N4,18,81593,4514.47,44B5720F-9369-7E04-43B7-3BA0E366B145,Paul,Dennis,8
E1V8S3,5,72939,2686.82,C25CC1D2-BCBC-97DF-667C-FB48EDB5CA83,Dorian,Berger,12
V3F7I4,3,69937,4370.93,89A271CE-DB0D-263A-9113-BF5A7033BB27,Elvis,Ayers,21
G6L6L2,2,52996,3118.09,E8B64482-918B-6D23-819B-8A48BFB2EAE1,Luke,Tillman,24
C8W7V4,18,60925,3771.25,35632108-778C-661A-25F4-BA68E2397DED,Hakeem,Johnson,19
T1S0I5,11,80020,4476.74,18539999-BDA2-EC2F-78B3-97BE6487394E,Jelani,Tran,7
B1U7J5,14,57492,1646.28,2E084A5A-A955-2A40-CE55-A433A7D9AE9C,Hayes,Knowles,20
E7Y5Z6,17,54732,3531.71,DBE8916B-D3BB-A626-22E6-9DAF1563B5BD,Devin,Dodson,12
B6W6A6,11,72521,2928.19,BF4834CD-AB89-C530-35FC-E96495A31C8B,Wang,Cote,9
L1T8C6,8,67356,4121.79,9A261373-7104-97B3-73DE-24A662C0E46B,Caesar,Warren,22
M3C2Q3,9,88744,1605.95,BE2A95C8-B677-F9C8-9A28-156EBFF1D598,Allistair,Herman,22
B5T7F2,1,65544,1985.21,2C132BFC-432B-C2F7-E4DB-4F90B03F4E06,Dale,Aguirre,25
L0B4F1,15,71755,2185.76,AA64B446-A42F-4B3C-4D38-AD0A6160D58A,Matthew,Cooke,20
U5R2R2,8,54035,3411.85,C553DE93-D714-17EB-E5B6-BF62F8B0CB3C,Thor,Vega,30
G3O8F3,4,82977,4771.43,062C5D4D-3D77-5052-E685-7C7069632404,Harper,Lane,13
J1Y9Q8,12,81703,4142.62,FA16F2C4-1389-BD1B-5DF2-5B21C846E957,Fuller,Tate,20
O1J7Y7,4,71866,4493.84,2BEF952D-F1C2-9E4D-A253-6630690C7849,Brandon,Gilmore,27
J6Q1E3,9,82196,3839.76,AC018CD7-75F1-3707-4264-5C17A89FC43C,Hilel,Schwartz,15
K7P2S8,6,77554,3236.67,1199C729-017D-57C8-16E7-22DB54DD2661,Hakeem,Hodge,27
F1M7P4,15,67294,2072.32,4A3A34B3-A1C4-1ADB-37B7-B984334071DC,Honorato,Robinson,18
B0P6J3,4,64254,2824.43,1C3715C3-D266-98DB-52BE-74DF046C8393,Cooper,Roberson,12
N1T1M6,15,55658,2642.12,3588AEC7-4195-8A44-11CF-173CAAB7FF27,Vladimir,Spencer,16
I7Q8Q1,1,81610,3164.23,5F54AF87-BDEE-8AE9-86A3-63775646BADA,Justin,Reed,9
R4Q5H4,19,77557,3329.68,72412276-785E-8F7E-18CE-0CA75286E7A8,Colin,Porter,6
T1Q6K1,9,68389,2923.46,A877D584-7F08-F304-A639-77E61939A342,Boris,Macias,11
O7V4W7,6,86638,4071.83,5DAD0D43-6335-98EE-920A-B64B54E3CA94,Cody,Lowe,9
I1X7K3,9,54975,3101.07,87928562-74E2-6593-81CD-A456B8A6EFCF,Drew,Wooten,17
U8I6B5,8,78198,2086.36,B68468F6-CC6B-35E5-0B45-7D7A3682AF2A,Nathan,Galloway,8
D8L8O2,17,57229,4999.30,CA6E4636-66CA-1A4E-7D21-445ED5DD56DE,Colt,Juarez,19
J5C6V1,4,79478,1606.47,5CE94414-EC3E-6209-686C-568EF62ABE2B,Dorian,Bruce,21
F7S5G1,12,81051,3575.97,5C7DE546-F876-B193-8894-965362843B52,Austin,Sharp,13
C8Q6E7,7,73266,4478.34,6D49C5C6-F57D-DD85-8E18-7534BE408DDA,Price,Sparks,14
N9G2W7,12,77430,4866.24,C953919C-1F83-772C-1AE7-622581E7CE1D,Brent,Hatfield,19
G3O1O8,16,59206,3908.63,BD36EE21-206D-A142-4130-53ADDB4AD889,Honorato,Bridges,9
A1H2B1,7,54054,3468.20,1909D04C-F778-46D1-189E-5B7F36C8A5B4,Walter,Le,8
K0X4N6,9,85578,4634.28,38E72811-8829-B412-5C41-2B3831CCFE11,Stone,Merritt,12
Q7B3J7,2,74306,2947.22,583A51EB-6EAC-C271-7431-0D59962BB8D4,Graham,Fuller,15
N4K8P6,19,55678,2053.43,05537B59-4D13-6861-F632-A551EDA484C3,Fletcher,Nielsen,8
U6O3E5,14,54835,4750.86,3A1F5A46-807D-4441-5502-A40179FCA24F,Logan,Huff,24
L2G1L5,7,76971,2166.81,A988E705-8ABA-55BB-2C0E-B78DB446C6B3,Martin,Chavez,27
B2J5Y2,6,77983,3778.07,17D708EE-5BED-BC56-75FA-D72EEA34C927,Graiden,English,15
T6N3M9,16,52704,1728.05,4C43D39C-23B6-A751-34C8-DB93CEA7A796,Dylan,Bryant,17
J9G6I4,18,64518,1891.53,D4F2D8C1-4AE4-0D9A-9446-D63396D546CC,Raymond,Middleton,23
I4N1H4,10,65362,2499.61,EBE47414-1908-1139-1AC4-728C69C456F1,Marsden,Robbins,7
E8R5O4,11,64610,4248.15,2D444A7A-ECF9-1D58-7A47-B3F062D98E8D,Bruno,Ashley,27
S1M0V4,3,69128,2005.84,DE523B1F-06E6-A91F-0444-E53DA0BE57AF,Beck,Mcpherson,7
V1O6U6,4,50669,1933.83,CB28337D-FBAE-29D3-52D1-BB794728CCF7,Ronan,Duffy,9
F3X3T4,16,58754,2073.91,B7AC9554-D4AB-4BB8-F7AA-A265CE247C29,Norman,Crosby,26
C8Z2K4,9,74307,4581.42,E611DF3E-FB12-6922-8A37-3431AE6B6882,Chadwick,Battle,13
U8Q6Y6,10,54842,3510.76,262D9D20-F29D-8A27-61D5-954352D5FA08,Victor,Henson,10
R1M6G2,6,77430,3334.39,A65372DF-A81A-6FD5-5113-A854EB3D08D8,Tyler,Wilcox,7
M5X9E2,12,57852,4657.72,57215C87-1CC5-1C14-8946-FCB54A87E9DB,Jelani,Norton,9
J7X2R7,3,69813,4199.63,12FAC453-38FB-38DA-54D5-ABC7D1C5D8FE,Phillip,Bernard,11
F8P5F5,13,84309,4223.88,B49A01EB-DDC7-CEB2-33C2-61C52B3A0F66,Price,Contreras,21
G9L3G0,12,65593,4186.16,6CAE6EF9-7A17-AFA0-2984-D8E2C3C6A89D,Yardley,Barry,21
