NombreEmpleado,TelefonoEmpleado,NumeroCuenta,Empresa,Comision,NumeroTarjeta,EmpresaTarjeta,VencimientoTarjeta,SaldoGastos
Micaela Sol Colom Cervera,+34 681 274 380,ES9754734841710496177386,InnovaCorp,0.07,4690990210889241,Banco Ficticio,02/34,1674.33
Fidela Acedo Barba,+34 834 41 39 16,ES6140483600382775680283,NextGen,0.09,6011374453631437,Banco Atlántico,05/32,7272.17
Remigio Crespo-Pozo,+34703161106,ES5191826650561460926091,VisionWare,0.03,342266122788783,Banco Digital,03/28,27830.23
Jafet Rios,+34 933 38 96 71,ES0752465271902869989375,InnovaCorp,0.07,4391863152355546841,Banco Sur,12/29,22269.32
Yago Viana Villalba,+34746486934,ES1992053900482270821849,DataWorks,0.04,4868017387768986,Banco Central,10/33,18396.08
Anselma Pinedo Solé,+34 748 37 25 18,ES5092546761420543144976,BlueWave,0.12,2696302002853609,Banco Andino,01/26,27393.35
Gracia Lluch Roselló,+34748 014 622,ES1171091755373480427410,GlobalSoft,0.06,213190561371958,Banco Central,11/32,42402.94
Tiburcio Julián Oliver,+34 711604094,ES1279300606776817648207,FutureLink,0.08,676361188417,Banco Nacional,02/26,22280.18
Agustina Río Rodríguez,+34 719216814,ES3740407275664927824239,BlueWave,0.12,6511448805098878,Banco Patagonico,12/25,42867.24
Zacarías Vall Miranda,+34 993260333,ES3874176834684932382912,DataWorks,0.04,3506152634675021,Banco Digital,10/28,45388.22
Jordán Espejo Cases,+34812683206,ES9702659030712999248277,BlueWave,0.12,6545227229178270,Banco Ficticio,09/25,39008.53
Inés Ramirez Esteban,+34 716929311,ES2509246259074095886416,NextGen,0.09,4575193743017183137,Banco Central,01/33,2406.08
Herminio Eduardo Pacheco Chaves,+34 922 777 320,ES4141147794266274097971,BlueWave,0.12,676331930740,Banco Nacional,10/27,20830.22
Celestina Luna Sánchez,+34902895047,ES1259592098199266795585,BlueWave,0.12,2716260647919399,Banco Ficticio,09/32,7034.78
Moisés Peral-Vargas,+34726 834 670,ES7272654519669967677759,BlueWave,0.12,6011154706025490,Banco Sur,12/27,5705.13
Anselmo Galán Tenorio,+34704 49 10 01,ES9442809893258631505326,TechNova,0.05,379512924699207,Banco Patagonico,04/26,7076.28
Felipa Mancebo Garzón,+34 743 538 194,ES7291901658935022918138,DataWorks,0.04,3589252962562054,Banco Rio,06/30,43516.25
Elías Gilabert Milla,+34806669624,ES1989233823910407247685,VisionWare,0.03,3590716664792166,Banco Central,04/28,47186.27
Cándido Montoya Salas,+34711 33 79 03,ES0649535609930296556747,AlphaSystems,0.11,30173466558623,Banco Atlántico,10/28,34631.18
Jordán del Caballero,+34725339179,ES1806566308794135271032,NextGen,0.09,4658370283641,Banco Nacional,01/34,5449.84
Fortunata de Santos,+34701 810 004,ES2378452437010174382810,BlueWave,0.12,4340296006429513,Banco Digital,08/32,28614.92
Rosenda Peiró Sobrino,+34970 101 201,ES8378089059429521943631,DataWorks,0.04,675907870892,Banco Sur,10/34,15965.43
Florencio Antúnez Palacio,+34 707 944 975,ES1281545589923083238872,BlueWave,0.12,676192159686,Banco Central,11/27,22042.18
Encarnacion Palomino Pedrero,+34713 415 342,ES2693831209315109375299,InnovaCorp,0.07,5305927156619111,Banco Central,08/31,31148.83
Eli Calderon-Doménech,+34743 04 02 69,ES3454449165334769485086,AlphaSystems,0.11,343602353321648,Banco del Plata,11/28,29249.31
Godofredo Baró Alcázar,+34721 023 047,ES0520442244530571870420,NextGen,0.09,501869529419,Banco Patagonico,05/28,39246.36
Marcela Báez Aramburu,+34 731613879,ES7198449298768523427134,CyberNet,0.1,6011691100576446,Banco Central,09/34,42310.38
Roldán Quirós Jaén,+34 911622678,ES5088768978764904468448,InnovaCorp,0.07,3532276472225116,Banco Central,05/27,19261.18
Almudena Rozas Guillén,+34718973698,ES6634659211356511344861,InnovaCorp,0.07,38326844821533,Banco Andino,11/33,14873.81
Graciano Teo Orozco Miralles,+34709 84 94 60,ES0788640750215747588342,InnovaCorp,0.07,6559225613305312,Banco Ficticio,11/30,40843.15
Margarita Peinado Pavón,+34702 739 350,ES8443822470942423834747,BlueWave,0.12,2703779899121268,Banco Digital,05/26,45904.69
Casemiro del Luna,+34 714420859,ES4769355178713768016495,GlobalSoft,0.06,346492928250671,Banco del Plata,02/35,2746.46
Ramiro Acuña Carro,+34 748 410 124,ES8646902870421936947403,TechNova,0.05,3512450916813936,Banco Patagonico,10/26,17246.03
Godofredo Mata Esteban,+34 744 384 932,ES6038997694262104705983,TechNova,0.05,213180082386759,Banco Digital,09/33,11729.14
Edu del Piña,+34 741077908,ES4512282307298861650741,DataWorks,0.04,36346901135553,Banco Ficticio,08/34,39571.48
Dorotea Rueda Peral,+34 719022911,ES0389302189161656331298,FutureLink,0.08,373496888768578,Banco del Plata,06/35,33219.43
Lupe Laguna-Hernando,+34 694266563,ES7331951969238697444272,NextGen,0.09,4363573918016527,Banco Ficticio,05/33,7551.16
Eladio Borja Gallart,+34 848441344,ES6331240427962481624637,CyberNet,0.1,639090545927,Banco Sur,09/27,47559.23
Teobaldo Torres Roselló,+34714778462,ES7692751388313452996168,GlobalSoft,0.06,30060417645882,Banco Andino,09/33,23944.93
Maxi Hoz Alcántara,+34938 30 36 58,ES2142428634893234360285,NextGen,0.09,3595104311647163,Banco Digital,09/31,18985.91
Rogelio Jafet Montero Conde,+34 714 32 23 87,ES9686917112704160561635,GlobalSoft,0.06,3510831651639309,Banco Rio,07/26,7260.99
Clementina Ariño Galvez,+34 700 14 80 92,ES9847707913740920277307,GlobalSoft,0.06,584485375060,Banco Patagonico,08/35,6691.44
Ale Ferrán Aragonés,+34 716236815,ES7130349631657950197359,DataWorks,0.04,4763570156843,Banco Ficticio,02/31,36620.8
Eli Lucena Roman,+34803 792 229,ES6965732738171661374696,DataWorks,0.04,3592830530110855,Banco Atlántico,11/34,25638.73
Flora Hernandez Cerezo,+34 743896766,ES8909354545240334529445,GlobalSoft,0.06,2234199237703586,Banco Patagonico,01/27,46235.84
Antonio Nicolás Camino Abellán,+34703 24 49 33,ES3593105466100075197836,GlobalSoft,0.06,4638670378532933,Banco Central,10/31,47038.04
Inés Cecilia Pinedo Nadal,+34 743 58 67 00,ES4114753228075934878979,NextGen,0.09,4422882380170335,Banco Rio,02/29,6047.9
Mohamed Flor Torrijos,+34698 23 77 24,ES2211359662299046223551,BlueWave,0.12,060450166347,Banco Patagonico,02/31,37251.58
Dominga Suárez Caballero,+34722590658,ES8642369748244337622317,TechNova,0.05,4334988264305660,Banco Nacional,09/28,24415.12
Gilberto Oller Chaves,+34873815070,ES4812552103953223466862,BlueWave,0.12,4395491062582955080,Banco del Plata,10/27,16665.65
Lucila de Manzano,+34 723 680 209,ES4089988642809110656949,GlobalSoft,0.06,4542378553583748,Banco Rio,06/29,39267.84
Ainara Hoyos Uriarte,+34970609521,ES4400320286194342096707,BlueWave,0.12,2518101074380194,Banco Central,04/29,16025.2
Rufino Salamanca-Poza,+34705098574,ES7663488900668356878991,FutureLink,0.08,565702217193,Banco Nacional,10/26,18121.55
Jacobo Santamaría Querol,+34 720 35 08 42,ES7341819366212162870967,InnovaCorp,0.07,3531851537018804,Banco Digital,12/32,47850.88
Noemí Sedano Vargas,+34840057694,ES1952639751385149194194,InnovaCorp,0.07,6011409586821412,Banco Patagonico,10/29,23227.35
Francisco Jose Montoya-Lerma,+34 708048752,ES2194984072914648779368,NextGen,0.09,3543921297690823,Banco Digital,07/29,8699.88
Francisco Jose Roca León,+34 700641337,ES1737909774279721932360,TechNova,0.05,4807609395333290941,Banco Rio,03/30,26917.19
Lucila Iglesias Lara,+34 612288604,ES5871969022641941183604,DataWorks,0.04,4832450725579,Banco Patagonico,03/26,33568.86
Rosendo Pareja Guerra,+34 738 76 86 93,ES7430604252853740568312,GlobalSoft,0.06,375226040135707,Banco del Plata,02/31,26811.99
Candelaria del Collado,+34824 281 951,ES2566523637904868604365,FutureLink,0.08,4268080215754665,Banco Patagonico,08/29,19672.99
Bernardo Arellano Plana,+34980497110,ES9160375462993383564297,GlobalSoft,0.06,30382400660466,Banco Andino,08/32,48221.49
Samuel Espiridión Arévalo Mosquera,+34 708 978 733,ES2071665620897659222171,CyberNet,0.1,6011555545979194,Banco Andino,10/34,18220.32
Gertrudis Casals Navarrete,+34717 280 231,ES1652965222108968575222,GlobalSoft,0.06,4268555587866042637,Banco del Plata,03/29,39923.77
Ariadna del Moreno,+34925 327 062,ES3245080941553777115596,NextGen,0.09,4589041819052368356,Banco Atlántico,11/34,18198.99
Paco Cristian Armas Cerdá,+34872922006,ES7182079553227236367712,FutureLink,0.08,213177208764349,Banco Andino,01/33,41746.54
Telmo Mendez Perales,+34959 794 769,ES5371218911603426047683,InnovaCorp,0.07,5528938841293312,Banco Sur,07/33,18128.55
Remedios Arévalo Ojeda,+34 937997618,ES3279525774009717535104,AlphaSystems,0.11,30152297903331,Banco Digital,09/26,48337.89
Lucía Olivé Feijoo,+34 687 45 63 25,ES9617900086141587047058,InnovaCorp,0.07,3555154687674877,Banco Digital,09/35,45829.33
Evangelina Cuadrado Pedraza,+34986 53 34 73,ES3945299543653407055087,InnovaCorp,0.07,584169193888,Banco Ficticio,01/26,3723.86
Telmo Amor,+34 746072161,ES5981175604277325735635,InnovaCorp,0.07,3556215008058824,Banco Central,01/34,10690.0
Morena del Cabañas,+34 705320706,ES0975743914649935172773,DataWorks,0.04,30344007557248,Banco Central,06/29,11771.93
Guadalupe Montalbán-Miralles,+34707 108 667,ES0670798762674474281271,GlobalSoft,0.06,4969232369685649,Banco del Plata,07/30,24087.41
Ignacio Peláez Mir,+34 709 414 308,ES7949510490653366176119,CyberNet,0.1,2434366640291024,Banco Andino,08/27,15194.0
Lorenzo Peiró Llopis,+34742 35 82 35,ES3820755134480278187099,FutureLink,0.08,5230420883478761,Banco Andino,09/27,36889.09
Ainara de Cobo,+34 748034618,ES3301207100872001485550,FutureLink,0.08,345517149684380,Banco Andino,11/26,13848.14
Bernardita Amelia Morell Gutiérrez,+34707 844 833,ES9652800164857821148808,GlobalSoft,0.06,3524097803372223,Banco Rio,11/29,19551.05
Efraín Jordán,+34 702 043 816,ES2983898534276003895140,BlueWave,0.12,379105817985880,Banco Rio,06/33,8983.12
Donato Raimundo Segarra Vázquez,+34722964164,ES3190614730841179764180,DataWorks,0.04,30532254964006,Banco Patagonico,06/35,43235.56
Salud Almagro Crespo,+34734880972,ES4666919752671721737711,BlueWave,0.12,2225412687076416,Banco del Plata,02/26,45897.28
Marina de Nebot,+34 803 99 66 02,ES2493171624204667416934,NextGen,0.09,676259886114,Banco Central,03/26,14975.74
Seve Codina,+34616644653,ES4371016386076432782675,VisionWare,0.03,4774907760470,Banco Digital,04/31,4288.1
Rosario Yaiza Fuentes Silva,+34659 245 025,ES1256142464377714231701,DataWorks,0.04,4903584215313243403,Banco Ficticio,08/34,12011.12
Silvestre Baños Millán,+34876 97 07 58,ES8351275574416546046635,BlueWave,0.12,4531332645290,Banco Ficticio,02/34,37283.83
Mamen del Dalmau,+34 924 42 96 82,ES5835234901662357151120,GlobalSoft,0.06,4459115817968604390,Banco Ficticio,05/34,41021.28
Ruben Arellano Galán,+34717 11 04 83,ES8481325436015375653116,TechNova,0.05,38383979460694,Banco Rio,03/34,43088.04
Cayetana del Quesada,+34 699958860,ES4668665592004652673737,AlphaSystems,0.11,676155522201,Banco Nacional,01/30,38950.9
Leyre Arana Aragonés,+34 727 975 093,ES9439319170799886005790,CyberNet,0.1,2265388023823581,Banco Atlántico,06/35,37214.64
Arsenio Frías-Herranz,+34929746560,ES0554032375380430061373,TechNova,0.05,6011899080630311,Banco Sur,03/30,21522.76
Jose Angel Salcedo Romeu,+34704507113,ES6999734969775693890366,GlobalSoft,0.06,6517826770204932,Banco Digital,09/31,13320.27
Leandra del Bastida,+34 713502030,ES2976431235112029507765,CyberNet,0.1,4062095821803,Banco Digital,02/33,35685.96
Amador Leal,+34741 17 66 45,ES5533972286908331996285,GlobalSoft,0.06,4310768036019312,Banco Andino,11/29,40355.01
Ángel Juanito Pina Tena,+34704 54 69 24,ES4962883228816117738120,FutureLink,0.08,676307605219,Banco Rio,01/29,39749.77
